"","Region.diff","Region.lwr","Region.upr","Region.p.adj"
"Commonwealth of Independent States-Central and Eastern Europe",-2.73291666666667,-9.24273978551187,3.77690645217854,0.938886312830784
"East Asia-Central and Eastern Europe",6.21875,-1.26046734481757,13.6979673448176,0.193950417072829
"Latin America and Caribbean-Central and Eastern Europe",-1.98467105263157,-7.28591342284417,3.31657131758103,0.970134127270321
"Middle East and North Africa-Central and Eastern Europe",-1.83240384615384,-7.66615314249651,4.00134545018883,0.991052889979666
"North America and ANZ-Central and Eastern Europe",3.32875000000001,-5.40509420914253,12.0625942091426,0.966467875852465
"South Asia-Central and Eastern Europe",-10.4745833333333,-17.9538006781509,-2.99536598851576,0.000600765481296506
"Southeast Asia-Central and Eastern Europe",-0.862916666666663,-7.37273978551187,5.64690645217854,0.999991779792915
"Sub-Saharan Africa-Central and Eastern Europe",-18.636856060606,-23.3963580073081,-13.877354113904,0
"Western Europe-Central and Eastern Europe",5.85575,0.615443474514473,11.0960565254855,0.0159693812166409
"East Asia-Commonwealth of Independent States",8.95166666666667,0.71731937851793,17.1860139548154,0.0217442694956853
"Latin America and Caribbean-Commonwealth of Independent States",0.748245614035099,-5.57385481529689,7.07034604336709,0.99999692945864
"Middle East and North Africa-Commonwealth of Independent States",0.90051282051283,-5.87432400581746,7.67534964684312,0.99999158234119
"North America and ANZ-Commonwealth of Independent States",6.06166666666668,-3.32693375301224,15.4502670863456,0.544959269722028
"South Asia-Commonwealth of Independent States",-7.74166666666666,-15.9760139548154,0.492680621482078,0.0842806277905253
"Southeast Asia-Commonwealth of Independent States",1.87,-5.49502411465664,9.23502411465665,0.998186476125953
"Sub-Saharan Africa-Commonwealth of Independent States",-15.9039393939394,-21.7791961501572,-10.0286826377215,7.28528348759028e-13
"Western Europe-Commonwealth of Independent States",8.58866666666667,2.31757460452401,14.8597587288093,0.000887246376134909
"Latin America and Caribbean-East Asia",-8.20342105263157,-15.5198306154519,-0.887011489811274,0.0153549332426106
"Middle East and North Africa-East Asia",-8.05115384615384,-15.7621401044589,-0.340167587848772,0.0331366425084361
"North America and ANZ-East Asia",-2.88999999999999,-12.9749746104174,7.19497461041742,0.99543424505888
"South Asia-East Asia",-16.6933333333333,-25.7136088454344,-7.67305782123222,1.05059714039513e-06
"Southeast Asia-East Asia",-7.08166666666666,-15.3160139548154,1.15268062148207,0.158209489917843
"Sub-Saharan Africa-East Asia",-24.855606060606,-31.7895470038109,-17.9216651174012,1.24344978758018e-14
"Western Europe-East Asia",-0.363,-7.63537861392248,6.90937861392248,0.999999998546693
"Middle East and North Africa-Latin America and Caribbean",0.152267206477731,-5.4712359412485,5.77577035420396,0.999999999994059
"North America and ANZ-Latin America and Caribbean",5.31342105263158,-3.28141410980644,13.9082562150696,0.606448593925872
"South Asia-Latin America and Caribbean",-8.48991228070176,-15.8063218435221,-1.17350271788146,0.0101559162545956
"Southeast Asia-Latin America and Caribbean",1.12175438596491,-5.20034604336709,7.4438548152969,0.999901053959291
"Sub-Saharan Africa-Latin America and Caribbean",-16.6521850079745,-21.1515200233483,-12.1528499926006,0
"Western Europe-Latin America and Caribbean",7.84042105263157,2.83522682253875,12.8456152827244,6.62905584218887e-05
"North America and ANZ-Middle East and North Africa",5.16115384615385,-3.77196720162795,14.0942748939357,0.694684141848397
"South Asia-Middle East and North Africa",-8.64217948717949,-16.3531657454846,-0.931193228874425,0.0154305550991191
"Southeast Asia-Middle East and North Africa",0.969487179487174,-5.80534964684311,7.74432400581746,0.999984091021522
"Sub-Saharan Africa-Middle East and North Africa",-16.8044522144522,-21.9204541461769,-11.6884502827275,5.88418203051333e-14
"Western Europe-Middle East and North Africa",7.68815384615384,2.12205741635713,13.2542502759506,0.000766365045136053
"South Asia-North America and ANZ",-13.8033333333333,-23.8883079437507,-3.71835872291594,0.000896850313300557
"Southeast Asia-North America and ANZ",-4.19166666666668,-13.5802670863456,5.19693375301224,0.912618429236658
"Sub-Saharan Africa-North America and ANZ",-21.9656060606061,-30.237297518972,-13.6939146022401,1.68542957368345e-12
"Western Europe-North America and ANZ",2.52699999999999,-6.03038472214438,11.0843847221444,0.99429372952088
"Southeast Asia-South Asia",9.61166666666666,1.37731937851793,17.8460139548154,0.00943099293886929
"Sub-Saharan Africa-South Asia",-8.16227272727272,-15.0962136704775,-1.22833178406792,0.00847168551748489
"Western Europe-South Asia",16.3303333333333,9.05795471941084,23.6027119472558,1.85605175673231e-09
"Sub-Saharan Africa-Southeast Asia",-17.7739393939394,-23.6491961501572,-11.8986826377215,8.45989944764369e-14
"Western Europe-Southeast Asia",6.71866666666666,0.447574604524008,12.9897587288093,0.0254279015250611
"Western Europe-Sub-Saharan Africa",24.4926060606061,20.0652301567689,28.9199819644432,0
